Data Name	banpass 300nm_AbsTSpec		
Trace Name	banpass 300nm 250-1000 %Transmittance	banpass 300nm 250-1000 %Transmittance	
Wavelength Range	250-1000	250-1000	
Axis	X	Y	
Label	Wavelength [nm]	Transmittance [%]	
Sample Position			
Temperature (Celsius)			
File Timestamp	04/08/2022 14:37:00	04/08/2022 14:37:00	
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	1000	1000	
Kinetic time (sec)			
259	509	-0.00470159	
260	510	-0.00464813	
261	511	-0.0047176	
262	512	-0.00465142	
263	513	-0.00464766	
264	514	-0.00464286	
265	515	-0.00483613	
266	516	-0.00481845	
267	517	-0.00480202	
268	518	-0.00479737	
269	519	-0.00460982	
270	520	-0.00470659	
271	521	-0.00478993	
272	522	-0.00483604	
273	523	-0.00488077	
274	524	-0.00484637	
275	525	-0.00499169	
276	526	-0.00489257	
277	527	-0.00475963	
278	528	-0.00471364	
279	529	-0.00471629	
280	530	-0.00480953	
281	531	-0.00487311	
282	532	-0.00487113	
283	533	-0.00491007	
284	534	-0.00505081	
285	535	-0.00495718	
286	536	-0.00499817	
287	537	-0.0051378	
288	538	-0.00500156	
289	539	-0.00508821	
290	540	-0.00518524	
291	541	-0.0050318	
292	542	-0.00512184	
293	543	-0.00501423	
294	544	-0.00510246	
295	545	-0.00492042	
296	546	-0.00501505	
297	547	-0.0054011	
298	548	-0.00519852	
299	549	-0.00528415	
300	550	-0.00530744	
301	551	-0.00527562	
302	552	-0.00512706	
303	553	-0.00529555	
304	554	-0.00534705	
305	555	-0.00535188	
306	556	-0.00532714	
307	557	-0.00518582	
308	558	-0.00546454	
309	559	-0.00561568	
310	560	-0.00560257	
311	561	-0.00538984	
312	562	-0.0055015	
313	563	-0.00570037	
314	564	-0.00576142	
315	565	-0.0056102	
316	566	-0.00577984	
317	567	-0.00577211	
318	568	-0.00577972	
319	569	-0.00582542	
320	570	-0.00565662	
321	571	-0.00545945	
322	572	-0.00555388	
323	573	-0.00550987	
324	574	-0.00575011	
325	575	-0.00556439	
326	576	-0.00560724	
327	577	-0.00582726	
328	578	-0.00569438	
329	579	-0.00581981	
330	580	-0.0058715	
331	581	-0.00604893	
332	582	-0.00602504	
333	583	-0.00617138	
334	584	-0.00578306	
335	585	-0.00580598	
336	586	-0.00571351	
337	587	-0.00582369	
338	588	-0.00606749	
339	589	-0.00577555	
340	590	-0.0060304	
341	591	-0.00602524	
342	592	-0.00601384	
343	593	-0.00603092	
344	594	-0.00622241	
345	595	-0.00622974	
346	596	-0.00634034	
347	597	-0.00646716	
348	598	-0.00625442	
349	599	-0.00623894	
350	600	-0.00629173	
351	601	-0.00607121	
352	602	-0.00631406	
353	603	-0.00635541	
354	604	-0.00620313	
355	605	-0.00640097	
356	606	-0.00644235	
357	607	-0.0065886	
358	608	-0.00637766	
359	609	-0.00641566	
360	610	-0.00645387	
361	611	-0.0063755	
362	612	-0.00634129	
363	613	-0.00645369	
364	614	-0.00649569	
365	615	-0.0063118	
366	616	-0.00619725	
367	617	-0.00627435	
368	618	-0.00626101	
369	619	-0.00646863	
370	620	-0.00643577	
371	621	-0.00655084	
372	622	-0.00648641	
373	623	-0.00636739	
374	624	-0.00644065	
375	625	-0.0065435	
376	626	-0.00644253	
377	627	-0.0064635	
378	628	-0.0066926	
379	629	-0.00643035	
380	630	-0.00689714	
381	631	-0.00696107	
382	632	-0.0066603	
383	633	-0.00688695	
384	634	-0.00700302	
385	635	-0.00674528	
386	636	-0.00693164	
387	637	-0.00711282	
388	638	-0.00697606	
389	639	-0.00708348	
390	640	-0.00710617	
391	641	-0.00693907	
392	642	-0.00696207	
393	643	-0.00716872	
394	644	-0.00685447	
395	645	-0.00712072	
396	646	-0.0071779	
397	647	-0.00693683	
398	648	-0.00699723	
399	649	-0.00690031	
400	650	-0.00715058	
401	651	-0.00714149	
402	652	-0.00732923	
403	653	-0.00708438	
404	654	-0.00729277	
405	655	-0.00754988	
406	656	-0.00803319	
407	657	-0.0076998	
408	658	-0.0080156	
409	659	-0.0080806	
410	660	-0.00808789	
411	661	-0.00800278	
412	662	-0.00794107	
413	663	-0.00811402	
414	664	-0.00803094	
415	665	-0.00805094	
416	666	-0.00802326	
417	667	-0.0080569	
418	668	-0.00821865	
419	669	-0.00827741	
420	670	-0.00820566	
421	671	-0.00842091	
422	672	-0.00837213	
423	673	-0.00821184	
424	674	-0.00795257	
425	675	-0.00827548	
426	676	-0.00839552	
427	677	-0.00805915	
428	678	-0.00821966	
429	679	-0.00812237	
430	680	-0.00800465	
431	681	-0.00822452	
432	682	-0.00817999	
433	683	-0.00817	
434	684	-0.00777176	
435	685	-0.00785403	
436	686	-0.00796639	
437	687	-0.00786233	
438	688	-0.00810646	
439	689	-0.00826616	
440	690	-0.00837473	
441	691	-0.00885044	
442	692	-0.00849997	
443	693	-0.00864463	
444	694	-0.00858583	
445	695	-0.0090765	
446	696	-0.00900154	
447	697	-0.00924955	
448	698	-0.00917956	
449	699	-0.00927662	
450	700	-0.00937968	
451	701	-0.00873727	
452	702	-0.00871696	
453	703	-0.0091577	
454	704	-0.00887758	
455	705	-0.00869596	
456	706	-0.00840467	
457	707	-0.00810431	
458	708	-0.00784899	
459	709	-0.00755761	
460	710	-0.00738796	
461	711	-0.0071969	
462	712	-0.0066588	
463	713	-0.00677204	
464	714	-0.0065859	
465	715	-0.0064272	
466	716	-0.00621098	
467	717	-0.00606639	
468	718	-0.00597924	
469	719	-0.00607475	
470	720	-0.00589715	
471	721	-0.00623371	
472	722	-0.00660725	
473	723	-0.00639729	
474	724	-0.00652947	
475	725	-0.00680488	
476	726	-0.00649251	
477	727	-0.00656582	
478	728	-0.00663893	
479	729	-0.00674038	
480	730	-0.00644782	
481	731	-0.00640703	
482	732	-0.00610675	
483	733	-0.00603829	
484	734	-0.00608956	
485	735	-0.00590308	
486	736	-0.00605796	
487	737	-0.00642975	
488	738	-0.00688877	
489	739	-0.00669906	
490	740	-0.00706521	
491	741	-0.00732065	
492	742	-0.00739187	
493	743	-0.00775073	
494	744	-0.00753392	
495	745	-0.00757729	
496	746	-0.00784502	
497	747	-0.0077056	
498	748	-0.00816804	
499	749	-0.00816047	
500	750	-0.00823435	
501	751	-0.00869562	
502	752	-0.00865246	
503	753	-0.00856333	
504	754	-0.00873171	
505	755	-0.00886215	
506	756	-0.00886595	
507	757	-0.00934721	
508	758	-0.00987558	
509	759	-0.00935501	
510	760	-0.00941497	
511	761	-0.00879184	
512	762	-0.00808698	
513	763	-0.00760975	
514	764	-0.00703487	
515	765	-0.00692437	
516	766	-0.00697359	
517	767	-0.00726536	
518	768	-0.00815608	
519	769	-0.00966754	
520	770	-0.0102536	
521	771	-0.0114165	
522	772	-0.0109723	
523	773	-0.0111143	
524	774	-0.0114321	
525	775	-0.0126675	
526	776	-0.0130168	
527	777	-0.0127412	
528	778	-0.0134496	
529	779	-0.0138646	
530	780	-0.0137288	
531	781	-0.0140773	
532	782	-0.0141547	
533	783	-0.0148312	
534	784	-0.0147335	
535	785	-0.0141555	
536	786	-0.0145797	
537	787	-0.0136703	
538	788	-0.0130819	
539	789	-0.0133962	
540	790	-0.0132816	
541	791	-0.0125359	
542	792	-0.0130461	
543	793	-0.0132145	
544	794	-0.0137248	
545	795	-0.0137367	
546	796	-0.0137934	
547	797	-0.0135199	
548	798	-0.0145368	
549	799	-0.0144441	
550	800	-0.0146248	
551	801	-0.0143142	
552	802	-0.0147464	
553	803	-0.0147767	
554	804	-0.0150159	
555	805	-0.0154353	
556	806	-0.0151309	
557	807	-0.0153529	
558	808	-0.0159228	
559	809	-0.0157746	
560	810	-0.0152947	
561	811	-0.0150717	
562	812	-0.0143226	
563	813	-0.0153802	
564	814	-0.0152465	
565	815	-0.0145475	
566	816	-0.0136013	
567	817	-0.0128991	
568	818	-0.0113706	
569	819	-0.0098897	
570	820	-0.0070915	
571	821	-0.00475448	
572	822	-0.00305924	
573	823	-0.00222563	
574	824	-0.00179613	
575	825	-0.00171938	
576	826	-0.00180261	
577	827	-0.00204126	
578	828	-0.00249428	
579	829	-0.00303915	
580	830	-0.00376243	
581	831	-0.00443604	
582	832	-0.00533258	
583	833	-0.00589202	
584	834	-0.00613964	
585	835	-0.00613756	
586	836	-0.00621441	
587	837	-0.00674328	
588	838	-0.00775184	
589	839	-0.00916075	
590	840	-0.0101797	
591	841	-0.0102952	
592	842	-0.0105533	
593	843	-0.0113757	
594	844	-0.0131595	
595	845	-0.0151311	
596	846	-0.0171119	
597	847	-0.0196945	
598	848	-0.0218842	
599	849	-0.0228064	
600	850	-0.0244969	
601	851	-0.0258595	
602	852	-0.0251382	
603	853	-0.0268352	
604	854	-0.0278783	
605	855	-0.027296	
606	856	-0.0280871	
607	857	-0.0288054	
608	858	-0.0275219	
609	859	-0.0268169	
610	860	-0.0267103	
611	861	-0.0259687	
612	862	-0.0255922	
613	863	-0.0249603	
614	864	-0.0240647	
615	865	-0.0234436	
616	866	-0.0217826	
617	867	-0.0207715	
618	868	-0.0186976	
619	869	-0.0192192	
620	870	-0.0186697	
621	871	-0.0178806	
622	872	-0.0164461	
623	873	-0.0153944	
624	874	-0.0141806	
625	875	-0.0130342	
626	876	-0.0113952	
627	877	-0.0096297	
628	878	-0.00694317	
629	879	-0.00501476	
630	880	-0.00395747	
631	881	-0.00313882	
632	882	-0.00274544	
633	883	-0.00264529	
634	884	-0.00272843	
635	885	-0.00303383	
636	886	-0.00386095	
637	887	-0.00477502	
638	888	-0.00582119	
639	889	-0.00714877	
640	890	-0.00839876	
641	891	-0.00815971	
642	892	-0.00816111	
643	893	-0.00759254	
644	894	-0.00675279	
645	895	-0.0065316	
646	896	-0.00636741	
647	897	-0.00667562	
648	898	-0.00687013	
649	899	-0.00753142	
650	900	-0.00859797	
651	901	-0.0089893	
652	902	-0.00856298	
653	903	-0.0074443	
654	904	-0.00652629	
655	905	-0.00596931	
656	906	-0.00604621	
657	907	-0.00636374	
658	908	-0.00737156	
659	909	-0.00881625	
660	910	-0.0108525	
661	911	-0.0117134	
662	912	-0.011601	
663	913	-0.010597	
664	914	-0.00836377	
665	915	-0.00673239	
666	916	-0.00577792	
667	917	-0.00536651	
668	918	-0.00503724	
669	919	-0.00512822	
670	920	-0.00608751	
671	921	-0.00760652	
672	922	-0.00883586	
673	923	-0.0104282	
674	924	-0.0124006	
675	925	-0.0146414	
676	926	-0.0164602	
677	927	-0.01792	
678	928	-0.0192048	
679	929	-0.021722	
680	930	-0.0233403	
681	931	-0.0236702	
682	932	-0.0229348	
683	933	-0.0234168	
684	934	-0.0236302	
685	935	-0.0221122	
686	936	-0.0210781	
687	937	-0.0189976	
688	938	-0.0185326	
689	939	-0.0172993	
690	940	-0.0155588	
691	941	-0.0157406	
692	942	-0.0154012	
693	943	-0.0153442	
694	944	-0.0144933	
695	945	-0.0161003	
696	946	-0.015502	
697	947	-0.0159401	
698	948	-0.0158512	
699	949	-0.0152219	
700	950	-0.0154149	
701	951	-0.0155378	
702	952	-0.0161976	
703	953	-0.0153991	
704	954	-0.0173196	
705	955	-0.0176235	
706	956	-0.020751	
707	957	-0.0228259	
708	958	-0.0255229	
709	959	-0.028177	
710	960	-0.0325915	
711	961	-0.0331815	
712	962	-0.0365576	
713	963	-0.036107	
714	964	-0.0369768	
715	965	-0.0371809	
716	966	-0.035735	
717	967	-0.0357128	
718	968	-0.0333868	
719	969	-0.032434	
720	970	-0.0295189	
721	971	-0.0292182	
722	972	-0.027067	
723	973	-0.0253951	
724	974	-0.0222166	
725	975	-0.0177867	
726	976	-0.0139021	
727	977	-0.0111689	
728	978	-0.00941927	
729	979	-0.00782583	
730	980	-0.00674731	
731	981	-0.0069697	
732	982	-0.00760256	
