Data Name	shortpass 350nm_AbsTSpec		
Trace Name	shortpass 350nm 250-1000 %Transmittance	shortpass 350nm 250-1000 %Transmittance	
Wavelength Range	250-1000	250-1000	
Axis	X	Y	
Label	Wavelength [nm]	Transmittance [%]	
Sample Position			
Temperature (Celsius)			
File Timestamp	04/08/2022 14:25:20	04/08/2022 14:25:20	
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	1000	1000	
Kinetic time (sec)			
293	543	79.4763	
294	544	76.8297	
295	545	74.3998	
296	546	72.1088	
297	547	69.9205	
298	548	68.0629	
299	549	66.4946	
300	550	65.0344	
301	551	63.9189	
302	552	63.0054	
303	553	62.2468	
304	554	61.7551	
305	555	61.4769	
306	556	61.4086	
307	557	61.549	
308	558	61.9139	
309	559	62.4678	
310	560	63.1858	
311	561	64.1647	
312	562	65.2615	
313	563	66.5535	
314	564	68.119	
315	565	69.7175	
316	566	71.5407	
317	567	73.3943	
318	568	75.485	
319	569	77.3648	
320	570	79.3762	
321	571	81.5646	
322	572	83.659	
323	573	85.8412	
324	574	87.7468	
325	575	89.5297	
326	576	91.0256	
327	577	92.4004	
328	578	93.4426	
329	579	94.2136	
330	580	94.7337	
331	581	94.9162	
332	582	94.8174	
333	583	94.4383	
334	584	93.7767	
335	585	92.9006	
336	586	91.7804	
337	587	90.5258	
338	588	89.1429	
339	589	87.7104	
340	590	86.1383	
341	591	84.6428	
342	592	83.0943	
343	593	81.6297	
344	594	80.0337	
345	595	78.6286	
346	596	77.1866	
347	597	75.9241	
348	598	74.8035	
349	599	73.7414	
350	600	72.8031	
351	601	71.9616	
352	602	71.27	
353	603	70.6887	
354	604	70.2207	
355	605	69.8417	
356	606	69.6067	
357	607	69.4944	
358	608	69.4798	
359	609	69.5684	
360	610	69.774	
361	611	70.0996	
362	612	70.4927	
363	613	71.0091	
364	614	71.5834	
365	615	72.3002	
366	616	73.0995	
367	617	73.928	
368	618	74.8682	
369	619	75.9224	
370	620	76.9689	
371	621	78.159	
372	622	79.3242	
373	623	80.5741	
374	624	81.8706	
375	625	83.1406	
376	626	84.4944	
377	627	85.8052	
378	628	86.9867	
379	629	88.1922	
380	630	89.3846	
381	631	90.4241	
382	632	91.5142	
383	633	92.3995	
384	634	93.2016	
385	635	93.8463	
386	636	94.4119	
387	637	94.8309	
388	638	95.0575	
389	639	95.1843	
390	640	95.1567	
391	641	94.9925	
392	642	94.6999	
393	643	94.2699	
394	644	93.7452	
395	645	93.1011	
396	646	92.3923	
397	647	91.5718	
398	648	90.6788	
399	649	89.731	
400	650	88.7556	
401	651	87.8346	
402	652	86.8379	
403	653	85.8808	
404	654	84.9332	
405	655	84.0128	
406	656	83.126	
407	657	82.2604	
408	658	81.4383	
409	659	80.6997	
410	660	80.0124	
411	661	79.4104	
412	662	78.8246	
413	663	78.3323	
414	664	77.8867	
415	665	77.5229	
416	666	77.2195	
417	667	76.9957	
418	668	76.8568	
419	669	76.7727	
420	670	76.7606	
421	671	76.8172	
422	672	76.9367	
423	673	77.107	
424	674	77.3441	
425	675	77.6421	
426	676	78.0001	
427	677	78.4011	
428	678	78.8226	
429	679	79.3273	
430	680	79.866	
431	681	80.4648	
432	682	81.1106	
433	683	81.7885	
434	684	82.4643	
435	685	83.165	
436	686	83.8633	
437	687	84.6196	
438	688	85.3763	
439	689	86.1507	
440	690	86.8904	
441	691	87.6711	
442	692	88.4365	
443	693	89.1822	
444	694	89.853	
445	695	90.5704	
446	696	91.2628	
447	697	91.9285	
448	698	92.5463	
449	699	93.0969	
450	700	93.491	
451	701	93.9092	
452	702	94.2653	
453	703	94.5744	
454	704	94.7888	
455	705	94.942	
456	706	95.0442	
457	707	95.0708	
458	708	95.0407	
459	709	94.9598	
460	710	94.8051	
461	711	94.6068	
462	712	94.3417	
463	713	94.0268	
464	714	93.6622	
465	715	93.282	
466	716	92.8465	
467	717	92.3343	
468	718	91.8458	
469	719	91.3284	
470	720	90.7683	
471	721	90.1994	
472	722	89.5923	
473	723	88.981	
474	724	88.3884	
475	725	87.8105	
476	726	87.204	
477	727	86.6233	
478	728	86.0577	
479	729	85.5057	
480	730	84.9981	
481	731	84.4711	
482	732	83.9326	
483	733	83.4515	
484	734	83.0428	
485	735	82.6284	
486	736	82.2021	
487	737	81.8039	
488	738	81.4561	
489	739	81.0836	
490	740	80.7493	
491	741	80.4128	
492	742	80.1672	
493	743	79.9413	
494	744	79.7407	
495	745	79.5299	
496	746	79.4025	
497	747	79.3345	
498	748	79.2999	
499	749	79.3398	
500	750	79.4327	
501	751	79.5734	
502	752	79.6955	
503	753	79.8732	
504	754	80.1231	
505	755	80.3453	
506	756	80.6578	
507	757	81.0401	
508	758	81.345	
509	759	81.6923	
510	760	82.0687	
511	761	82.442	
512	762	82.974	
513	763	83.4777	
514	764	83.9328	
515	765	84.2966	
516	766	84.5734	
517	767	84.8086	
518	768	85.0188	
519	769	85.2829	
520	770	85.6612	
521	771	86.2462	
522	772	86.8491	
523	773	87.5423	
524	774	88.2641	
525	775	89.0212	
526	776	89.6518	
527	777	90.2469	
528	778	90.8214	
529	779	91.3198	
530	780	91.7661	
531	781	92.2336	
532	782	92.6424	
533	783	92.9756	
534	784	93.2985	
535	785	93.6096	
536	786	93.9321	
537	787	94.198	
538	788	94.4328	
539	789	94.661	
540	790	94.7731	
541	791	94.8741	
542	792	94.9631	
543	793	95.0244	
544	794	95.0566	
545	795	95.0131	
546	796	94.9379	
547	797	94.8804	
548	798	94.8037	
549	799	94.6477	
550	800	94.5191	
551	801	94.3445	
552	802	94.1534	
553	803	93.9388	
554	804	93.6989	
555	805	93.4457	
556	806	93.1793	
557	807	92.8697	
558	808	92.5308	
559	809	92.1461	
560	810	91.8454	
561	811	91.4857	
562	812	91.1188	
563	813	90.7583	
564	814	90.354	
565	815	89.9862	
566	816	89.5597	
567	817	89.1906	
568	818	88.7767	
569	819	88.3301	
570	820	87.7949	
571	821	87.3368	
572	822	87.0169	
573	823	86.7789	
574	824	86.5937	
575	825	86.4395	
576	826	86.2541	
577	827	86.003	
578	828	85.7295	
579	829	85.4183	
580	830	85.1937	
581	831	84.9524	
582	832	84.6907	
583	833	84.3869	
584	834	84.1061	
585	835	83.8886	
586	836	83.7288	
587	837	83.5932	
588	838	83.4692	
589	839	83.3516	
590	840	83.1515	
591	841	83.1288	
592	842	83.0766	
593	843	82.9447	
594	844	82.9091	
595	845	82.8935	
596	846	82.788	
597	847	82.4688	
598	848	82.5102	
599	849	82.5361	
600	850	82.7932	
601	851	82.8386	
602	852	82.9492	
603	853	83.0591	
604	854	83.1848	
605	855	83.314	
606	856	83.4844	
607	857	83.6712	
608	858	83.8671	
609	859	84.0751	
610	860	84.3054	
611	861	84.5402	
612	862	84.7934	
613	863	85.0704	
614	864	85.3285	
615	865	85.4791	
616	866	85.7494	
617	867	86.0259	
618	868	86.5642	
619	869	86.8425	
620	870	87.1779	
621	871	87.5114	
622	872	87.8314	
623	873	88.1828	
624	874	88.4427	
625	875	88.8377	
626	876	89.2417	
627	877	89.5408	
628	878	89.9691	
629	879	90.2943	
630	880	90.5041	
631	881	90.6749	
632	882	90.8374	
633	883	91.0032	
634	884	91.1668	
635	885	91.3438	
636	886	91.5765	
637	887	91.8148	
638	888	92.0867	
639	889	92.394	
640	890	92.6847	
641	891	92.9708	
642	892	93.2423	
643	893	93.4392	
644	894	93.605	
645	895	93.7245	
646	896	93.8399	
647	897	93.9324	
648	898	94.0393	
649	899	94.1679	
650	900	94.2772	
651	901	94.4096	
652	902	94.4766	
653	903	94.519	
654	904	94.5258	
655	905	94.5521	
656	906	94.541	
657	907	94.5701	
658	908	94.5708	
659	909	94.5513	
660	910	94.5364	
661	911	94.5294	
662	912	94.3614	
663	913	94.1404	
664	914	94.0496	
665	915	93.9243	
666	916	93.8164	
667	917	93.7159	
668	918	93.6368	
669	919	93.5519	
670	920	93.4519	
671	921	93.3228	
672	922	93.1515	
673	923	92.903	
674	924	92.7593	
675	925	92.4781	
676	926	92.3017	
677	927	92.0787	
678	928	91.7693	
679	929	91.4691	
680	930	91.0277	
681	931	90.7943	
682	932	90.5156	
683	933	90.3301	
684	934	90.0088	
685	935	89.7198	
686	936	89.5514	
687	937	89.4365	
688	938	89.2564	
689	939	89.0656	
690	940	88.8038	
691	941	88.6192	
692	942	88.4251	
693	943	88.1812	
694	944	88.0122	
695	945	87.7805	
696	946	87.5463	
697	947	87.3626	
698	948	87.1379	
699	949	86.9374	
700	950	86.7368	
701	951	86.6113	
702	952	86.4226	
703	953	86.2111	
704	954	86.0398	
705	955	85.6924	
706	956	85.5223	
707	957	85.5286	
708	958	85.3765	
709	959	85.208	
710	960	85.0726	
711	961	84.9497	
712	962	84.7915	
713	963	84.7005	
714	964	84.6093	
715	965	84.525	
716	966	84.4789	
717	967	84.3746	
718	968	84.3837	
719	969	84.3438	
720	970	84.3314	
721	971	84.326	
722	972	84.3194	
723	973	84.3499	
724	974	84.4154	
725	975	84.4488	
726	976	84.5394	
727	977	84.7288	
728	978	84.7492	
729	979	84.7069	
730	980	84.7369	
731	981	84.7534	
732	982	84.7972	
733	983	84.897	
734	984	84.9186	
735	985	84.7287	
736	986	85.0183	
737	987	85.1881	
738	988	85.3485	
739	989	85.3337	
740	990	85.5795	
741	991	85.7878	
742	992	85.8458	
743	993	85.92	
744	994	86.031	
745	995	86.1169	
746	996	86.1644	
747	997	86.0273	
748	998	86.3263	
749	999	86.4178	
750	1000	86.5517	
